dept,number,prof,year,semester,section,A,B,C,D,F,I,S,U,Q,X,gpa
CSCE,181,KEYSER J,2021,FALL,599,362,12,11,2,0,3,0,0,1,0,3.897
CSCE,181,KEYSER J,2021,SPRING,500,181,9,9,0,4,0,0,0,6,0,3.788
CSCE,181,KEYSER J,2022,SPRING,599,198,5,11,4,7,0,0,0,1,0,3.702
CSCE,181,MURPHY R,2013,SPRING,900,55,0,0,0,13,12,1,0,9,5,3.235
CSCE,181,SCHAEFER S,2014,FALL,500,151,3,1,0,0,0,0,0,0,0,3.968
CSCE,181,SCHAEFER S,2015,FALL,500,144,8,1,2,0,0,0,0,3,0,3.897
CSCE,181,SCHAEFER S,2015,SPRING,500,119,15,1,0,0,0,0,0,0,0,3.874
CSCE,181,SCHAEFER S,2016,SPRING,500,124,7,0,1,3,0,0,0,0,0,3.837
CSCE,181,SCHAEFER S,2017,FALL,500,130,3,0,0,0,0,1,0,0,0,3.977
CSCE,181,SCHAEFER S,2018,FALL,500,132,3,0,0,0,0,0,0,0,0,3.978
CSCE,181,SCHAEFER S,2018,SPRING,500,119,8,3,0,0,0,0,0,1,0,3.892
CSCE,181,SCHAEFER S,2019,SPRING,500,183,3,3,2,1,0,0,0,1,0,3.901
CSCE,181,STOLERU R,2012,FALL,900,110,0,0,0,21,0,0,0,1,0,3.359
CSCE,181,TYAGI A,2016,FALL,500,99,0,0,0,0,0,0,0,1,0,4.0
CSCE,181,TYAGI A,2017,SPRING,500,94,1,0,0,1,0,0,0,0,0,3.948
CSCE,181,TYAGI A,2022,FALL,599,425,1,0,0,0,0,0,0,1,0,3.998
CSCE,181,TYAGI A,2023,FALL,599,416,1,2,0,0,0,0,0,1,0,3.988
CSCE,181,TYAGI A,2023,SPRING,599,286,2,0,0,1,0,0,0,0,0,3.979
CSCE,201,RITCHEY P,2021,SUMMER,700,8,1,0,0,0,0,0,0,0,0,3.889
CSCE,206,CHAMON C,2022,FALL,1503,52,4,2,0,4,0,0,0,1,0,3.613
CSCE,206,CHAMON C,2023,FALL,1503,50,2,0,0,3,0,0,0,0,0,3.745
CSCE,206,CHAMON C,2023,SPRING,1503,67,2,0,0,0,0,0,0,0,0,3.971
CSCE,206,CHAMON C,2024,SPRING,1503,48,8,3,2,1,1,0,0,0,0,3.613
CSCE,206,HURLEY J,2012,FALL,1506,34,46,21,4,5,0,0,0,6,0,2.909
CSCE,206,HURLEY J,2012,SPRING,2540,30,54,26,2,2,0,0,0,3,0,2.947
CSCE,206,HURLEY J,2012,SUMMER,603,12,18,4,0,1,1,0,0,1,0,3.143
CSCE,206,HURLEY J,2013,FALL,3021,70,97,48,10,2,0,1,0,14,0,2.982
CSCE,206,HURLEY J,2013,SPRING,3021,42,73,46,12,14,0,0,0,11,0,2.626
CSCE,206,HURLEY J,2013,SUMMER,603,7,14,3,0,1,0,0,0,0,0,3.04
CSCE,206,HURLEY J,2014,FALL,3021,67,87,28,6,3,0,0,0,5,0,3.094
CSCE,206,HURLEY J,2014,SPRING,3021,70,77,32,6,1,0,0,0,5,0,3.124
CSCE,206,HURLEY J,2014,SUMMER,603,11,7,8,0,2,0,0,0,3,0,2.893
CSCE,206,HURLEY J,2015,FALL,4036,74,85,37,4,5,0,0,0,6,0,3.068
CSCE,206,HURLEY J,2015,SPRING,3021,52,44,23,6,6,1,2,0,6,0,2.992
CSCE,206,HURLEY J,2015,SUMMER,302,11,8,5,0,0,0,0,0,0,0,3.25
CSCE,206,HURLEY J,2016,FALL,1009,37,27,9,3,3,0,0,0,3,0,3.165
CSCE,206,HURLEY J,2016,SPRING,3021,39,49,23,7,1,0,1,0,7,0,2.992
CSCE,206,HURLEY J,2016,SUMMER,301,10,4,5,1,1,0,0,0,0,0,3.0
CSCE,206,RAJANNA V,2016,FALL,1015,15,19,5,0,4,0,0,0,2,0,2.953
CSCE,206,RAJANNA V,2017,SPRING,1003,19,34,9,4,2,0,0,0,3,0,2.941
